target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex,retrieval_metric
#4f86c6,retrieval,1,20.696203756400003,240.84127099,5.389995161240001,27.10193534869802,#695972,delta_e_2000
#4f86c6,cgan,1,17.268150405073428,103.19331929323477,17.826425196977354,21.125975792920958,#645c8c,delta_e_2000
#4f86c6,cgan,2,4.62317271480135,248.8402606341902,25.953456487089333,22.51025307964022,#595a74,delta_e_2000
#4f86c6,cgan,3,2.050253540152333,221.19154072537881,20.4545849004771,22.80763541710175,#807881,delta_e_2000
#4f86c6,cgan,4,16.878846574432313,419.3410353384441,7.138552193109724,22.931413788806346,#7b609a,delta_e_2000
#4f86c6,cgan,5,14.290654538536218,285.42632341731485,20.510195478529237,26.639442080175293,#007677,delta_e_2000
#4f86c6,cgan,6,22.09326816750497,263.9565964445406,11.98184001625964,27.176012153566074,#453c8b,delta_e_2000
#4f86c6,cgan,7,0.7276658884430366,563.0591507724761,23.327263664515307,29.28869252376584,#856c65,delta_e_2000
#4f86c6,cgan,8,13.149052071399483,268.6974745460541,28.639291993613224,31.584765570542192,#2e2c75,delta_e_2000
#4f86c6,cgan,9,5.347983292988473,103.89830296435659,25.24861576698948,32.74745399210505,#90907d,delta_e_2000
#4f86c6,cgan,10,12.934587922641978,372.33835901076145,3.3862812989666145,33.20492298450226,#c69092,delta_e_2000
#4f86c6,cgan,11,7.085562432695951,217.67837905129895,21.437861456593634,33.49918688348606,#654c4b,delta_e_2000
#4f86c6,cgan,12,3.816690689440578,769.3113383749582,15.327604305018122,33.966455174986656,#bd9281,delta_e_2000
#4f86c6,cgan,13,5.2339616246223954,275.49751530143277,27.974954119970146,34.52542857575436,#4a7057,delta_e_2000
#4f86c6,cgan,14,1.4250791175357485,187.94717683514534,27.74056449619915,34.80716558867097,#655144,delta_e_2000
#4f86c6,cgan,15,21.130246997636934,741.1317201059337,19.92418565763037,34.998494050936145,#8a5755,delta_e_2000
#4f86c6,cgan,16,22.794963355781665,947.6354917527011,3.7925446518428174,35.58194341912677,#8a664e,delta_e_2000
#d15f3f,retrieval,1,20.8154221358,152.245491396,24.1337458382,17.45535745519266,#d96a00,delta_e_2000
#d15f3f,cgan,1,14.176074086510479,985.811060858737,13.352313473278672,10.679807416467968,#af7366,delta_e_2000
#d15f3f,cgan,2,7.049655739770999,961.5214886058977,26.999521246575576,15.86221852963433,#8b533f,delta_e_2000
#d15f3f,cgan,3,23.535137131907515,979.8559514968165,9.944932169338069,16.016183471365174,#8b5343,delta_e_2000
#d15f3f,cgan,4,19.260907043503774,996.3408156996855,3.6390560441785236,17.97730644716758,#947a66,delta_e_2000
#d15f3f,cgan,5,1.1121304663302651,908.3736589160094,15.510503370251843,19.57298937482019,#c49e8a,delta_e_2000
#d15f3f,cgan,6,0.1237716006546789,885.250397153237,28.132104925812612,19.691499031549426,#7e5f48,delta_e_2000
#d15f3f,cgan,7,23.53204817583691,995.225167715575,3.2411955195298736,19.87420188510023,#7f6450,delta_e_2000
#d15f3f,cgan,8,28.986563461523534,985.4197675039082,5.262540793642008,23.027204496247972,#6d4937,delta_e_2000
#d15f3f,cgan,9,29.51888014688371,983.25796857327,5.549127637525297,23.32872994598066,#6c4634,delta_e_2000
#d15f3f,cgan,10,0.8935857067674721,980.0168198539654,26.253548874147246,23.544621182350447,#796951,delta_e_2000
#d15f3f,cgan,11,0.06999213088617752,973.1795272559717,24.188538470968783,23.722120561805205,#82745c,delta_e_2000
#d15f3f,cgan,12,19.834771901616843,90.23484861894246,5.6272876858571035,24.00171199739613,#847d7d,delta_e_2000
#d15f3f,cgan,13,27.8728077918048,993.872657615381,2.4111285570978307,24.06694901592915,#6c533e,delta_e_2000
#d15f3f,cgan,14,14.208422445090708,386.3215384709723,16.849377097125604,24.463889358271427,#9f3756,delta_e_2000
#d15f3f,cgan,15,0.5915979230033791,969.0097050010103,29.700248425805267,24.54516449845254,#6e5942,delta_e_2000
#d15f3f,cgan,16,12.455115780498405,996.3560740544207,3.3991550561469137,24.72667262662275,#b9a796,delta_e_2000
#66aa55,retrieval,1,26.4523646234,132.562712661,25.3324172736,13.500221118084808,#008e29,delta_e_2000
#66aa55,cgan,1,14.361198367911372,470.3914670832071,5.465502044318079,3.3272855937390973,#73b366,delta_e_2000
#66aa55,cgan,2,14.882145668409642,652.981165050695,9.636558021533828,5.9441654361188565,#3aa04e,delta_e_2000
#66aa55,cgan,3,14.603944420296534,670.8324864436333,13.80714425692243,7.526808331352135,#199f42,delta_e_2000
#66aa55,cgan,4,15.558326049741325,652.4718578584617,3.4676919160404354,8.400645267052067,#85a06d,delta_e_2000
#66aa55,cgan,5,9.125073617497474,635.0483068246409,7.543420476086908,8.406061943179918,#7ec281,delta_e_2000
#66aa55,cgan,6,14.437535666269895,655.8780471412881,14.019418390769527,10.932072071009024,#00963c,delta_e_2000
#66aa55,cgan,7,14.463040042586593,494.80185451201567,4.469917581802718,11.351307513556868,#a3b361,delta_e_2000
#66aa55,cgan,8,13.702103355757492,653.9830310067221,15.34358074235568,12.018936539762516,#00923b,delta_e_2000
#66aa55,cgan,9,14.997496496840833,850.745654419965,4.364080762232603,14.12076375113151,#8e9f84,delta_e_2000
#66aa55,cgan,10,15.85713523922274,823.6844258706675,4.45397057317598,15.373109046781197,#8e9372,delta_e_2000
#66aa55,cgan,11,0.9266845118026269,445.45389157770995,12.024918433686192,16.45250881654125,#bfd095,delta_e_2000
#66aa55,cgan,12,14.482777771535588,641.3064971780777,15.558626390234476,17.202113329544297,#147f43,delta_e_2000
#66aa55,cgan,13,15.02218132379003,707.7025721755924,11.270943687006662,17.490832063482806,#9a987b,delta_e_2000
#66aa55,cgan,14,14.544692491115814,707.5381872445006,11.519358512833223,17.566702137342197,#9c9a7d,delta_e_2000
#66aa55,cgan,15,14.119005138826836,441.8799795986934,4.710197045406399,17.67124400460929,#7b9c8f,delta_e_2000
#66aa55,cgan,16,14.055056446725443,448.46017487969493,8.699921129368446,18.856294330466564,#489484,delta_e_2000
