target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex
#4f86c6,retrieval,1,19.6896656562,103.404519147,24.6576432539,13.26853621508243,#611e52
#4f86c6,cgan,1,49.19459156010464,35.928933645836665,44.97749237561881,49.48094583683108,#020000
#4f86c6,cgan,2,49.90002985385619,5.4202868712504575,35.9603237915297,50.33253574028259,#080000
#4f86c6,cgan,3,45.219812889868486,941.2257907049802,31.063323728433232,50.49017791507017,#2f1204
#4f86c6,cgan,4,46.433616166192486,931.9311877592513,33.61309577673647,50.86351328634476,#2a1402
#d15f3f,retrieval,1,33.3435952882,141.704790115,21.5044467339,3.464558216601685,#9e6e00
#d15f3f,cgan,1,5.389532583308684,778.3377876568067,6.103930731948711,27.934478441505938,#ff8dab
#d15f3f,cgan,2,40.264936621125045,972.2990129024477,28.866821375125117,37.389010311005485,#470409
#d15f3f,cgan,3,41.55600105145821,971.9528985823424,30.466199540242737,37.94855213539425,#420405
#d15f3f,cgan,4,44.07266728882791,978.2064399058208,35.07147242046084,39.108570599290175,#3a0403
#66aa55,retrieval,1,19.991172584700003,299.90521295099995,24.6554804922,7.330665422828072,#586625
#66aa55,cgan,1,45.83715707706224,912.5772760425913,22.119767153050535,49.70479339803089,#331c08
#66aa55,cgan,2,46.03506483850642,934.3741337964741,27.147785326780923,52.20659417816075,#311504
#66aa55,cgan,3,46.10787658449492,645.558809913326,4.586888511976785,56.04289299336261,#42110a
#66aa55,cgan,4,49.95538370822711,7.899969278716098,41.383011523619025,58.42310792918611,#050000
